Abkhazian ; abk   
Tok Pisin ; tpi   
Tokelau ; tkl   
Tonga (Nyasa) ; tog   
Tonga (Tonga Islands) ; ton   
Tsimshian ; tsi   
Tsonga ; tso   
Tswana ; tsn   
Tumbuka ; tum   
Tupi languages ; tup   
Turkish ; tur   
Turkish, Ottoman (1500-1928) ; ota   
Turkmen ; tuk   
Tuvalu ; tvl   
Tuvinian ; tyv   
Twi ; twi
Ugaritic ; uga   
Uighur ; uig   
Ukrainian ; ukr   
Umbundu ; umb   
Undetermined ; und   
Urdu ; urd   
Uzbek ; uzb   
Vai ; vai   
Venda ; ven   
Vietnamese ; vie   
Volapuk ; vol   
Votic ; vot   
Wakashan languages ; wak   
Walamo ; wal   
Walloon ; wln   
Waray ; war   
Washo ; was   
Welsh ; wel   
Wolof ; wol   
Xhosa ; xho   
Yakut ; sah   
Yao ; yao   
Yapese ; yap   
Yiddish ; yid   
Yoruba ; yor   
Yupik languages ; ypk   
Zande ; znd   
Zapotec ; zap   
Zenaga ; zen   
Zhuang, Chuang ; zha   
Zulu ; zul   
Zuni ; zun    
